"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNU6-304P",1.128304383811,3.64561597515397,3.65288974228581,0.99800876356939,0.31827510912526,1
"RNU6-307P",1.64411140477111,0.363881807139398,2.6084000510781,0.13950383377312,0.88905202665135,1
"RNU6-308P",0.948085954573619,-1.53759306803579,3.63317730262115,-0.423208927053051,0.672142834161561,1
"RNU6-30P",3.93009319568797,-1.09046589287289,1.61918285152412,-0.673466799531903,0.500650363738617,1
"RNU6-311P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-312P",4.02666469438884,0.449500560208847,1.58010415098256,0.284475273309884,0.776046180649161,1
"RNU6-313P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-314P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-315P",0.986411503907824,-3.39546823002753,3.84228419789682,-0.883710848845105,0.376852322388446,1
"RNU6-316P",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RNU6-321P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-323P",3.11405195979102,1.69387649030841,1.88053817954912,0.900740282079534,0.367726425653536,1
"RNU6-32P",1.74187351420264,0.503357290068073,2.52229548637409,0.199563172827015,0.841822232184009,1
"RNU6-331P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-341P",1.26848759986057,-1.87680647457685,3.26784959261984,-0.574324619717952,0.56574815204401,1
"RNU6-342P",0.846228287858252,3.23028865378457,4.09126508045157,0.789557408347647,0.429786290382534,1
"RNU6-343P",0.970982199123321,3.44720302903167,3.5293564696239,0.976722827150134,0.32870639094497,1
"RNU6-353P",1.48661308772983,-2.18215174679245,2.86425996224473,-0.761855339793351,0.44614634729948,1
"RNU6-354P",0.68890610317057,2.95813157660482,4.43890239088802,0.666410593455972,0.505148693210581,1
"RNU6-358P",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RNU6-375P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-377P",3.54888824721943,-0.714478885017723,1.73456186999752,-0.411907408652276,0.680407290332564,1
"RNU6-378P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-379P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-37P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-388P",1.23301437988478,-3.71743103607897,3.52579537390034,-1.05435246287893,0.291721577738275,1
"RNU6-402P",0.521559624902783,0.175943836278316,4.66705715822745,0.0376990960927378,0.96992759669947,1
"RNU6-407P",2.88020219159375,2.3268203272581,2.12723755872758,1.09382251066021,0.274032829330504,1
"RNU6-409P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-414P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-422P",1.6924565757165,4.23108319990124,3.14969054830065,1.34333298303988,0.179164176601337,1
"RNU6-42P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-430P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-435P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-437P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-444P",1.05023859683249,0.186266382368158,3.17912842653127,0.0585903925156596,0.953278363199699,1
"RNU6-446P",2.8489433720917,0.923350822899489,1.92854736237621,0.478780475353122,0.632094808035413,1
"RNU6-453P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-455P",0.918541470894094,3.37294829135864,3.94548744632243,0.85488759937699,0.392613376285367,1
"RNU6-466P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-476P",2.39833018714051,3.12979220510923,2.45967729260601,1.27244017518788,0.203216767331409,1
"RNU6-483P",0.72556993387702,-2.95470332527296,3.96254184783007,-0.745658579452224,0.455873686478733,1
"RNU6-487P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-48P",1.73914470000306,1.36868747891264,2.40011530505768,0.570259052149892,0.568502009301179,1
"RNU6-495P",1.26290645630258,2.07708261102304,3.01556880263035,0.688786344125623,0.490957730475993,1
"RNU6-504P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-50P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
