"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-21B23.1",1.37781220634114,3.9575300047869,3.37519191807885,1.17253480715832,0.240982406011519,1
"RP11-21B23.3",1.37781220634114,3.9575300047869,3.37519191807885,1.17253480715832,0.240982406011519,1
"RP11-21C4.1",1.24001021175288,-1.83856383203074,3.29222056891741,-0.55845706371834,0.576532315923578,1
"RP11-21K12.3",4.04209399917335,-1.00894814722121,1.65260105792683,-0.610521300577482,0.541516537673217,1
"RP11-21K20.4",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RP11-21K20.5",0.75831433965323,1.05991066683649,3.68604149868248,0.287547133480547,0.773693417656687,1
"RP11-220C2.1",0.957934115800128,-3.35649519179752,3.88505415005238,-0.863950684381649,0.387614982127903,1
"RP11-220I1.2",1.70367148002726,0.420026333876772,2.38993222469116,0.175748219776839,0.860491750942585,1
"RP11-220I1.5",1.18484066932407,-0.625670239208643,2.99214651941408,-0.20910414485022,0.834366939107203,1
"RP11-221G19.1",2.95625866720624,-1.46751855942814,1.98217908765247,-0.74035619110791,0.459083893685241,1
"RP11-221N13.4",0.732689280903944,-2.96741952857783,3.94791425731253,-0.751642344582692,0.452266171279787,1
"RP11-222G7.2",2.10338214021816,0.944462187108258,2.38336914452031,0.396271886492994,0.691904464607804,1
"RP11-223P11.3",3.65429342876976,5.35862487457334,2.21684033039976,2.41723537824983,0.0156389005669897,1
"RP11-224E16.1",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-225H22.4",3.99272967788198,1.20702465144175,1.64482335979964,0.733832386469012,0.463050899397706,1
"RP11-225H22.7",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-225N10.1",0.75831433965323,1.05991066683649,3.68604149868248,0.287547133480547,0.773693417656687,1
"RP11-226M10.3",3.69926721723379,0.231503882442235,1.63997436345115,0.141163110595863,0.887741087681038,1
"RP11-227D13.4",2.97049736126008,-1.47726171075562,1.90416000079379,-0.775807553010141,0.437862623649415,1
"RP11-227D13.5",3.48932817196328,-0.754318024881406,1.7051478755504,-0.442376896278231,0.658216494728016,1
"RP11-227F19.5",1.60454262751148,2.46145887474338,2.81648947801505,0.873945702249924,0.382147824226337,1
"RP11-227G15.10",1.44568223935487,-1.06599579831647,3.00619563540079,-0.3545996094743,0.722889568763831,1
"RP11-227G15.11",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-227G15.12",2.62796555486403,3.2791891270538,2.37507006287526,1.38067048139372,0.167380301397583,1
"RP11-227G15.8",2.85184831864488,1.54964352706872,1.99666470825963,0.776116050260364,0.437680467694205,1
"RP11-227G15.9",1.02342292735255,3.51536998597067,3.43787977861607,1.02254011552021,0.306525336208222,1
"RP11-227L6.1",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-228B15.6",0.511711463676274,2.51531334050804,4.59466110933133,0.54744262539835,0.584074677650647,1
"RP11-229P13.15",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RP11-229P13.25",1.20453699177708,-3.68651178376704,3.25772797162344,-1.1316205084889,0.257794014142354,1
"RP11-22A3.1",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RP11-22A3.2",2.00829622779144,-2.69907675367273,2.80616558931319,-0.961838019805999,0.336130976536956,1
"RP11-22B23.4",2.00829622779144,-2.69907675367273,2.80616558931319,-0.961838019805999,0.336130976536956,1
"RP11-22B23.5",2.71404632405662,-0.729661939384507,1.92919546565548,-0.378220845100624,0.705266541483052,1
"RP11-22C8.3",1.02342292735255,3.51536998597067,3.43787977861607,1.02254011552021,0.306525336208222,1
"RP11-22L13.1",1.28699331158294,0.681055443456571,2.9035982544529,0.234555673262346,0.814553617352514,1
"RP11-22N19.2",2.29024880858537,-0.807351563598247,2.30276622952106,-0.350600748459892,0.72588789494987,1
"RP11-22P4.2",1.20453699177708,-3.68651178376704,3.25772797162344,-1.1316205084889,0.257794014142354,1
"RP11-230C9.3",0.761043153852815,-0.823396205384573,3.9655413736704,-0.207637779510155,0.835511803406294,1
"RP11-230C9.4",2.84028582159585,-0.632318501567226,2.07360520108596,-0.304936784126542,0.760414299434647,1
"RP11-230G5.2",0.761043153852815,-0.823396205384573,3.9655413736704,-0.207637779510155,0.835511803406294,1
"RP11-230L22.4",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RP11-231E19.1",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-231E4.5",1.73048714950721,-1.25622956903732,2.40556932370216,-0.522217155273659,0.601519142809739,1
"RP11-231L11.1",0.68890610317057,2.95813157660482,4.43890239088802,0.666410593455972,0.505148693210581,1
"RP11-232L2.3",3.84235070786762,0.3305231235244,1.66926883388233,0.198004729265615,0.843041363570302,1
"RP11-233G1.8",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-234G16.5",1.72775833530762,-0.40122324115558,2.56808090157538,-0.156234657914963,0.87584805909016,1
"RP11-234K24.3",3.10829935584835,0.651029779937165,1.85414256745287,0.35112174833002,0.725497012598878,1
"RP11-234K24.6",3.9164970699159,5.44874127307473,2.16665454502227,2.51481773390816,0.0119093935529473,1
"RP11-235C23.5",2.2618949356365,-1.63937890224619,2.29021697904158,-0.715818159261155,0.474103638035325,1
"RP11-235C23.6",1.28972212578252,-0.397473811105833,2.89955625311077,-0.137080910459801,0.890966841262584,1
"RP11-236J17.6",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-236L14.1",3.34641614171413,1.29047163911583,1.79891403160495,0.717361483897316,0.4731510787604,1
"RP11-236P24.3",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-237N2.1",0.478967057900064,-2.35679426763392,4.89370809857205,-0.481596821911305,0.630092384284694,1
"RP11-239A17.1",0.952476487400959,-0.0732091978551822,3.55526341493986,-0.0205917788109719,0.983571298635497,1
"RP11-239L20.6",2.99339360580979,0.0709605987170921,1.80797661292502,0.0392486264533528,0.968692165176543,1
"RP11-23B15.5",0.528678971929707,0.155098658775617,4.6428531997988,0.0334058933378161,0.973350910083215,1
"RP11-23E19.2",1.85405045004162,2.7314876900373,2.8817989298993,0.94784117715414,0.343210314367581,1
"RP11-23I22.1",0.803635720855533,1.20043065254601,3.89443186916492,0.308242817662495,0.75789757375028,1
"RP11-23I7.1",2.15535176055029,-4.52629957260962,2.89716814726589,-1.56231856162065,0.118212961429632,1
"RP11-23J9.8",1.21877568583093,-3.70186207856991,3.2077715510204,-1.15402921301935,0.24848819240415,1
"RP11-23P13.4",0.486086404926988,-2.37611060888774,4.69034075586692,-0.506596584888971,0.612437905061039,1
"RP11-23P13.6",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-240G22.4",1.49373243475676,-2.19108022324308,2.8246406214102,-0.775702298775689,0.437924782269022,1
"RP11-241K3.5",3.6792233020425,-1.97164334382732,1.78040213753391,-1.10741461283477,0.268114710894206,1
"RP11-242C24.4",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-242C24.5",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RP11-242O24.3",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RP11-242P2.2",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-242P2.3",0.732689280903944,-2.96741952857783,3.94791425731253,-0.751642344582692,0.452266171279787,1
"RP11-243M5.5",1.41038047976375,3.96781046823299,3.3608106018566,1.18061114959619,0.237757232320079,1
"RP11-244G12.1",0.846228287858252,3.23028865378457,4.09126508045157,0.789557408347647,0.429786290382534,1
"RP11-244N9.4",1.9585843137618,-4.38567525236468,2.71437311933382,-1.61572306368885,0.106154202142491,1
